transaction_id,date,amount,category,balance_after,transaction_type
1,2024-01-01,-118.04,Entertainment,1881.96,Expense
2,2024-01-02,-337.09,Entertainment,1544.8700000000001,Expense
3,2024-01-03,-265.16,Grocery,1279.71,Expense
4,2024-01-04,-28.6,Entertainment,1251.1100000000001,Expense
5,2024-01-05,-51.05,Bills,1200.0600000000002,Expense
6,2024-01-06,-217.08,Transport,982.9800000000001,Expense
7,2024-01-07,-422.98,Bills,560.0000000000001,Expense
8,2024-01-08,-204.36,Entertainment,355.6400000000001,Expense
9,2024-01-09,2207.75,Salary,2563.3900000000003,Income
10,2024-01-10,2295.39,Salary,4858.780000000001,Income
11,2024-01-11,-253.61,Rent,4605.170000000001,Expense
12,2024-01-12,-66.67,Entertainment,4538.500000000001,Expense
13,2024-01-13,4648.16,Freelance,9186.66,Income
14,2024-01-14,-223.88,Shopping,8962.78,Expense
15,2024-01-15,-180.11,Grocery,8782.67,Expense
16,2024-01-16,-167.04,Bills,8615.63,Expense
17,2024-01-17,4810.57,Salary,13426.199999999999,Income
18,2024-01-18,-196.86,Shopping,13229.339999999998,Expense
19,2024-01-19,-31.06,Rent,13198.279999999999,Expense
20,2024-01-20,2970.23,Freelance,16168.509999999998,Income
21,2024-01-21,-402.0,Transport,15766.509999999998,Expense
22,2024-01-22,-468.24,Bills,15298.269999999999,Expense
23,2024-01-23,4564.11,Freelance,19862.379999999997,Income
24,2024-01-24,-192.09,Bills,19670.289999999997,Expense
25,2024-01-25,1907.34,Freelance,21577.629999999997,Income
26,2024-01-26,1997.65,Freelance,23575.28,Income
27,2024-01-27,2532.95,Salary,26108.23,Income
28,2024-01-28,2260.72,Salary,28368.95,Income
29,2024-01-29,-146.31,Transport,28222.64,Expense
30,2024-01-30,-160.29,Shopping,28062.35,Expense
31,2024-01-31,-221.36,Bills,27840.989999999998,Expense
32,2024-02-01,-319.9,Bills,27521.089999999997,Expense
33,2024-02-02,-472.15,Entertainment,27048.939999999995,Expense
34,2024-02-03,-273.72,Transport,26775.219999999994,Expense
35,2024-02-04,-438.44,Transport,26336.779999999995,Expense
36,2024-02-05,4427.1,Freelance,30763.879999999997,Income
37,2024-02-06,-140.31,Shopping,30623.569999999996,Expense
38,2024-02-07,-146.52,Bills,30477.049999999996,Expense
39,2024-02-08,-122.1,Rent,30354.949999999997,Expense
40,2024-02-09,-154.71,Transport,30200.239999999998,Expense
41,2024-02-10,-320.19,Bills,29880.05,Expense
42,2024-02-11,-442.01,Entertainment,29438.04,Expense
43,2024-02-12,-22.58,Bills,29415.46,Expense
44,2024-02-13,-128.18,Transport,29287.28,Expense
45,2024-02-14,4202.52,Salary,33489.8,Income
